city,city_bis,city_nospace,city_nospace_bis,city_formatted
le noyer,le noyer,lenoyer,lenoyer,Le-Noyer
orelle,orelle,orelle,orelle,Orelle
flumet,flumet,flumet,flumet,Flumet
aillon le vieux,aillon le vieux,aillonlevieux,aillonlevieux,Aillon-Le-Vieux
apremont,apremont,apremont,apremont,Apremont
grignon,grignon,grignon,grignon,Grignon
saint paul,st paul,saintpaul,stpaul,Saint-Paul
montsapey,montsapey,montsapey,montsapey,Montsapey
yenne,yenne,yenne,yenne,Yenne
saint jean d arves,st jean d arves,saintjeandarves,stjeandarves,Saint-Jean-D-Arves
brison saint innocent,brison saint innocent,brisonsaintinnocent,brisonsaintinnocent,Brison-Saint-Innocent
le verneil,le verneil,leverneil,leverneil,Le-Verneil
la table,la table,latable,latable,La-Table
brides les bains,brides les bains,brideslesbains,brideslesbains,Brides-Les-Bains
seez,seez,seez,seez,Seez
valloire,valloire,valloire,valloire,Valloire
fourneaux,fourneaux,fourneaux,fourneaux,Fourneaux
ayn,ayn,ayn,ayn,Ayn
albertville,albertville,albertville,albertville,Albertville
saint jean de maurienne,st jean de maurienne,saintjeandemaurienne,stjeandemaurienne,Saint-Jean-De-Maurienne
monthion,monthion,monthion,monthion,Monthion
chanaz,chanaz,chanaz,chanaz,Chanaz
verel pragondran,verel pragondran,verelpragondran,verelpragondran,Verel-Pragondran
aiguebelle,aiguebelle,aiguebelle,aiguebelle,Aiguebelle
ruffieux,ruffieux,ruffieux,ruffieux,Ruffieux
bourdeau,bourdeau,bourdeau,bourdeau,Bourdeau
laissaud,laissaud,laissaud,laissaud,Laissaud
saint marcel,st marcel,saintmarcel,stmarcel,Saint-Marcel
thoiry,thoiry,thoiry,thoiry,Thoiry
jongieux,jongieux,jongieux,jongieux,Jongieux
villard sur doron,villard sur doron,villardsurdoron,villardsurdoron,Villard-Sur-Doron
pallud,pallud,pallud,pallud,Pallud
mercury,mercury,mercury,mercury,Mercury
saint sulpice,st sulpice,saintsulpice,stsulpice,Saint-Sulpice
saint pierre d entremont,st pierre d entremont,saintpierredentremont,stpierredentremont,Saint-Pierre-D-Entremont
novalaise,novalaise,novalaise,novalaise,Novalaise
